Associates,22%,"(22%, 23%)"
Bachelors,61%,"(60%, 61%)"
Masters,10%,"(9%, 10%)"
JD,1%,"(1%, 1%)"
MD,2%,"(2%, 2%)"
PhD or equivalent,3%,"(3%, 4%)"
Other,3%,"(3%, 3%)"
Non-degree,2%,"(1%, 2%)"
