Other,4%,"(3%, 4%)"
Race/Ethnicity,,
White / Caucasian,61%,"(61%, 62"
Black / African American,16%,"(16%, 17"
Hispanic / Latino,16%,"(16%, 17"
American Indian,2%,"(2%, 2%)"
Arab / Middle Eastern,2%,"(2%, 2%)"
Asian / Asian American,12%,"(11%, 12"
Pacific Islander,1%,"(1%, 1%)"
Other,2%,"(2%, 2%)"
