institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
Alabama A & M University,27.0,City: Midsize,59.0,0.2663559180955552,0.2663559180955552,85.50024970867321,1.0487764275012486,0.1331779590477776,1.981022140835692,1.0987181621441653,7.874146828699851,1.8311969369069416,6007,2
University of Alabama at Birmingham,64.0,City: Midsize,82.0,0.1663662830999584,7.167614030223208,21.2117010952447,5.134248347890384,0.0462128564166551,51.08831276861224,3.812560654374047,4.551966357040529,6.821017607098296,21639,1
University of Alabama in Huntsville,63.0,City: Midsize,80.0,0.768647829381834,3.875717224206993,9.01807946302912,6.008444300097434,0.1732164122550611,68.65865540759987,3.8324131211432286,3.756630940781639,3.908195301504817,9237,1
Alabama State University,28.0,City: Midsize,60.0,0.2089864158829676,0.3134796238244514,89.73354231974922,1.123301985370951,0.0783699059561128,4.049111807732498,1.1494252873563218,0.9143155694879832,2.4294670846394983,3828,2
The University of Alabama,73.0,City: Small,87.0,0.3467549943070075,1.573336093572094,11.241072352758511,5.529965842045337,0.1060966773625918,71.49880964703446,3.30452334126902,3.506365800641756,2.893075251009212,38644,1
Auburn University at Montgomery,36.0,City: Midsize,70.0,0.195733020160501,2.6032491681346643,38.85300450185946,1.5267175572519085,0.0587199060481503,37.09140732041495,2.7989821882951653,0.7046388725778039,16.16754746525739,5109,1
Auburn University,81.0,City: Small,93.0,0.2455610124669437,2.817655207152752,4.911220249338874,3.998236997859212,0.0598161440624606,78.72749024052386,2.7483944087646397,0.343155773832011,6.148469965999245,31764,1
Jacksonville State University,52.0,Suburb: Small,66.0,0.4568106312292359,0.6333056478405316,23.69186046511628,0.1972591362126246,0.1245847176079734,62.21968438538206,0.0,10.662375415282392,2.014119601328904,9632,1
University of West Alabama,38.0,Rural: Remote,69.0,0.7849829351535836,0.1706484641638225,32.33788395904437,2.627986348122867,0.0341296928327645,49.09556313993174,1.7747440273037545,11.416382252559726,1.757679180887372,5860,1
University of Montevallo,55.0,Suburb: Large,73.0,0.3480278422273781,0.4253673627223511,17.246713070378963,6.612529002320186,0.1546790409899458,66.55065738592421,3.17092034029389,2.474864655839134,3.016241299303944,2586,1
University of North Alabama,52.0,City: Small,76.0,0.600203458799593,1.7090539165818923,11.861648016276703,5.005086469989827,0.1119023397761953,70.45778229908444,3.814852492370295,1.2309257375381486,5.20854526958291,9830,1
University of South Alabama,48.0,City: Midsize,69.0,0.6771841047774967,3.884506623009376,21.09688941806817,4.249144217889567,0.17115642208662,61.80979312397679,3.8398571215954753,2.2399166542640274,2.03155231433249,13438,1
Troy University,46.0,Town: Remote,75.0,0.2684374116982198,0.996044080248658,31.59790901384572,5.135631534331732,0.1342187058491099,51.90731845153999,4.0336253178864085,3.4543656400113023,2.472449844588867,14156,1
University of Alaska Anchorage,30.0,City: Large,66.0,5.1318807339449535,7.100535168195719,3.0198776758409784,9.260321100917432,2.1597859327217126,48.39449541284404,10.25420489296636,13.063837920489297,1.6150611620795108,10464,4
University of Alaska Fairbanks,39.0,Suburb: Small,70.0,12.38080823369154,2.3308612078098987,2.6638413803541696,8.536400787044045,0.8475858937490541,53.00438928409263,9.52020584228848,8.082336915392766,2.6335704555774178,6607,4
Arizona State University Campus Immersion,67.0,City: Midsize,85.0,1.0728782863923063,7.951039780178605,3.9318054081059137,22.821457565727847,0.1973396615250109,41.91719228127147,4.540061200274777,3.070005620433398,14.498220196090678,80065,3
University of Arizona,68.0,City: Large,86.0,1.4108454952128413,5.675768678015506,4.034167965508168,25.67253000829909,0.1882476772665627,47.83515171143453,4.738578628828209,3.35607149363399,7.088638341801105,49403,3
Northern Arizona University,59.0,City: Small,76.0,2.994374421419925,2.9374065370647298,2.965890479242327,24.78102969450972,0.2421135085095777,54.646443067720575,5.358541622160507,2.7166559851883503,3.357544684184291,28086,1
University of Arkansas at Little Rock,42.0,City: Midsize,75.0,0.8051726241307795,2.354519946321825,21.642064169818227,3.062095888739783,0.0,54.20275710625839,10.62583872148347,0.7807734537025741,6.526778089544956,8197,4
University of Arkansas,69.0,City: Small,86.0,0.8339798293250582,2.770235324540988,4.551331781742953,10.240496508921645,0.1131367985518489,71.85156452029997,4.444659943108353,1.4966382208430309,3.6979570726661497,30936,1
University of Arkansas at Pine Bluff,41.0,City: Small,59.0,0.5027230833682447,0.4189359028068705,88.94009216589862,2.4298282362798496,0.1256807708420611,3.1839128613322165,1.968998743192292,0.0,2.4298282362798496,2387,2
Arkansas State University,53.0,City: Small,78.0,0.3184230477634572,1.1296436694465504,14.344200151630025,4.313874147081122,0.1137225170583775,69.55269143290371,3.055344958301744,1.2357846853677028,5.936315390447309,13190,1
University of Central Arkansas,50.0,City: Small,74.0,0.3328961969131443,2.1083425804499143,15.212347422576414,6.123272470493292,0.0807021083425804,67.50731362856854,4.630283466155554,0.272369615656209,3.732472510844346,9913,1
Henderson State University,39.0,Town: Distant,57.0,1.2306470821754665,1.5482334259626835,21.953156014291388,6.629614926558158,0.2381897578404128,63.27907899960302,0.0,2.9376736800317587,2.1834061135371177,2519,1
Southern Arkansas University Main Campus,45.0,Town: Remote,71.0,0.2748331370239497,0.745975657636435,17.530427954456222,4.377699254024343,0.0392618767177071,52.31645072634472,4.691794267765999,0.0981546917942677,19.92540243423636,5094,1
California Polytechnic State University-San Luis Obispo,85.0,Suburb: Small,94.0,0.1045454545454545,14.027272727272727,0.7318181818181818,21.43636363636364,0.2590909090909091,51.29090909090909,7.595454545454546,3.0454545454545454,1.509090909090909,22000,4
California State University-Bakersfield,50.0,City: Large,73.0,0.2912722355144075,6.772079475709976,3.900967439925101,66.98221158847394,0.1872464371164048,14.147508582128369,2.1533340268386563,4.119421616560907,1.4459585977322376,9613,3
California State University-Stanislaus,55.0,Suburb: Small,81.0,0.2363600551506795,8.93244041756943,2.383297222769352,61.38467598975773,0.6499901516643687,18.583809336222178,2.4817805790821352,4.658262753594642,0.689383494189482,10154,3
California State University-San Bernardino,54.0,City: Midsize,80.0,0.1565419380901883,5.675907690753927,5.191132656668182,68.49972226430339,0.1514921981517951,11.473009140029289,2.4693228298742613,3.423723678230571,2.959147603898399,19803,3
California State Polytechnic University-Pomona,66.0,Suburb: Large,87.0,0.1163509435334327,22.21575828091481,2.745155073991928,52.248845580482126,0.1636185143438897,13.994836926880703,3.51598007490092,2.748791040977348,2.250663563974839,27503,3
California State University-Chico,64.0,City: Midsize,80.0,0.3948388916308256,5.696961150673341,2.5805541845871818,36.60720580977227,0.1903687513220052,43.56624127476557,5.302122259042516,3.617006275118099,2.0447014030882045,14183,3
