institution name,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
Alabama A & M University,0.2663559180955552,0.2663559180955552,85.50024970867321,1.0487764275012486,0.1331779590477776,1.9810221408356916,1.0987181621441653,7.874146828699851,1.8311969369069419,6007,2
University of Alabama at Birmingham,0.1663662830999584,7.167614030223208,21.2117010952447,5.1342483478903835,0.04621285641665511,51.088312768612234,3.812560654374047,4.551966357040529,6.8210176070982955,21639,1
University of Alabama in Huntsville,0.768647829381834,3.8757172242069933,9.018079463029121,6.008444300097434,0.17321641225506115,68.65865540759987,3.8324131211432286,3.756630940781639,3.908195301504817,9237,1
Alabama State University,0.20898641588296762,0.3134796238244514,89.73354231974922,1.123301985370951,0.07836990595611285,4.049111807732498,1.1494252873563218,0.9143155694879832,2.4294670846394983,3828,2
The University of Alabama,0.34675499430700757,1.573336093572094,11.241072352758513,5.529965842045337,0.10609667736259187,71.49880964703446,3.3045233412690194,3.5063658006417557,2.893075251009212,38644,1
Auburn University at Montgomery,0.19573302016050106,2.6032491681346643,38.85300450185946,1.5267175572519083,0.05871990604815032,37.09140732041495,2.7989821882951653,0.7046388725778039,16.16754746525739,5109,1
Auburn University,0.2455610124669437,2.8176552071527516,4.911220249338874,3.9982369978592116,0.05981614406246065,78.72749024052386,2.7483944087646393,0.34315577383201107,6.148469965999245,31764,1
Birmingham-Southern College,0.10256410256410256,2.2564102564102564,15.076923076923077,5.538461538461538,0.0,73.43589743589743,1.3333333333333335,0.10256410256410256,2.1538461538461537,975,1
South University-Montgomery,0.0,0.554016620498615,74.51523545706371,1.662049861495845,0.2770083102493075,19.667590027700832,0.554016620498615,1.662049861495845,1.10803324099723,361,2
Faulkner University,0.6034788782392616,1.4909478168264112,33.86581469648562,3.8693645722399714,0.1419950301739439,52.85764998225062,2.2719204827831025,2.3429179978700745,2.5559105431309903,2817,1
Huntingdon College,0.4895960832313341,0.36719706242350064,19.216646266829866,5.630354957160343,0.12239902080783352,66.70746634026928,5.263157894736842,2.203182374541004,0.0,817,1
Heritage Christian University,0.6993006993006993,2.797202797202797,8.391608391608392,3.4965034965034967,0.0,83.21678321678321,0.6993006993006993,0.6993006993006993,0.0,143,1
Jacksonville State University,0.45681063122923593,0.6333056478405316,23.691860465116278,0.1972591362126246,0.12458471760797342,62.21968438538206,0.0,10.662375415282392,2.0141196013289036,9632,1
University of West Alabama,0.7849829351535836,0.17064846416382254,32.33788395904437,2.627986348122867,0.034129692832764506,49.09556313993174,1.7747440273037545,11.416382252559726,1.757679180887372,5860,1
Miles College,0.0,0.0,95.07154213036566,0.6359300476947536,0.0,3.1796502384737675,1.0333863275039745,0.0794912559618442,0.0,1258,2
University of Mobile,1.662971175166297,1.0532150776053215,12.527716186252771,1.7184035476718404,0.22172949002217296,48.28159645232816,4.878048780487805,25.88691796008869,3.7694013303769403,1804,0
University of Montevallo,0.34802784222737815,0.42536736272235115,17.246713070378963,6.612529002320186,0.15467904098994587,66.55065738592421,3.17092034029389,2.474864655839134,3.0162412993039442,2586,1
University of North Alabama,0.600203458799593,1.7090539165818923,11.861648016276705,5.005086469989827,0.11190233977619532,70.45778229908444,3.814852492370295,1.2309257375381486,5.20854526958291,9830,1
Oakwood University,0.20408163265306123,0.27210884353741494,73.26530612244898,9.183673469387756,0.0,1.0204081632653061,2.312925170068027,2.2448979591836733,11.496598639455783,1470,2
Samford University,0.12319605772615277,1.9007391763463568,8.729320661738825,4.118268215417107,0.10559662090813093,80.21823301654348,1.9183386131643787,2.0767335445265753,0.8095740936290039,5682,1
University of South Alabama,0.6771841047774967,3.884506623009376,21.096889418068166,4.249144217889567,0.17115642208662005,61.80979312397679,3.8398571215954753,2.2399166542640274,2.03155231433249,13438,1
Spring Hill College,0.7648183556405354,1.5296367112810707,13.193116634799235,9.27342256214149,0.19120458891013384,60.7074569789675,1.7208413001912046,3.824091778202677,8.795411089866157,1046,1
Stillman College,0.2688172043010753,0.2688172043010753,95.16129032258065,0.6720430107526881,0.0,2.82258064516129,0.0,0.8064516129032258,0.0,744,2
Talladega College,0.4429678848283499,0.0,84.60686600221484,4.540420819490587,0.22148394241417496,1.3289036544850499,1.1074197120708749,0.7751937984496124,6.976744186046512,903,2
Troy University,0.26843741169821983,0.9960440802486579,31.597909013845722,5.135631534331732,0.13421870584910991,51.907318451539986,4.0336253178864085,3.4543656400113023,2.472449844588867,14156,1
