institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
Metropolitan State University of Denver,33.0,40.0,42.0,17.0,20.0,27.0,31.0,25.0,36.0,45.0,City: Large,"10,000 - 19,999",2
University of Northern Colorado,45.0,48.0,54.0,11.0,51.0,44.0,56.0,42.0,40.0,44.0,City: Midsize,"5,000 - 9,999",4
Colorado State University Pueblo,0.0,29.0,30.0,25.0,22.0,36.0,40.0,29.0,24.0,33.0,City: Midsize,"5,000 - 9,999",4
Western Colorado University,50.0,50.0,50.0,,24.0,39.0,50.0,47.0,41.0,100.0,Town: Remote,"1,000 - 4,999",6
Central Connecticut State University,25.0,51.0,52.0,0.0,47.0,47.0,55.0,62.0,67.0,42.0,Suburb: Large,"5,000 - 9,999",4
Charter Oak State College,,,,,,,100.0,,,,Suburb: Large,"1,000 - 4,999",5
University of Connecticut,50.0,83.0,83.0,100.0,75.0,75.0,87.0,77.0,84.0,79.0,Suburb: Large,"20,000 and above",5
Eastern Connecticut State University,67.0,82.0,82.0,,45.0,44.0,63.0,45.0,85.0,50.0,Town: Fringe,"1,000 - 4,999",5
Southern Connecticut State University,0.0,52.0,53.0,0.0,49.0,45.0,58.0,47.0,40.0,50.0,City: Midsize,"5,000 - 9,999",4
Western Connecticut State University,100.0,55.0,55.0,,45.0,43.0,55.0,49.0,50.0,0.0,City: Small,"1,000 - 4,999",1
Delaware State University,67.0,50.0,33.0,100.0,45.0,41.0,44.0,47.0,0.0,75.0,City: Small,"5,000 - 9,999",4
University of Delaware,63.0,80.0,80.0,100.0,66.0,74.0,82.0,67.0,80.0,78.0,Suburb: Large,"20,000 and above",5
University of the District of Columbia,,67.0,67.0,,31.0,35.0,14.0,17.0,14.0,62.0,City: Large,"1,000 - 4,999",1
University of Central Florida,67.0,80.0,80.0,100.0,73.0,74.0,77.0,72.0,67.0,61.0,Suburb: Large,"20,000 and above",5
Florida Agricultural and Mechanical University,,67.0,67.0,,61.0,46.0,52.0,65.0,,83.0,City: Midsize,"5,000 - 9,999",4
Florida Atlantic University,33.0,69.0,69.0,100.0,65.0,65.0,59.0,65.0,69.0,57.0,City: Small,"20,000 and above",5
Florida International University,33.0,77.0,76.0,100.0,64.0,71.0,59.0,62.0,67.0,70.0,Suburb: Large,"20,000 and above",5
Florida State University,62.0,83.0,83.0,100.0,87.0,86.0,84.0,85.0,83.0,77.0,City: Midsize,"20,000 and above",9
University of Florida,75.0,92.0,92.0,100.0,83.0,90.0,91.0,89.0,88.0,84.0,City: Midsize,"20,000 and above",9
University of North Florida,33.0,87.0,87.0,100.0,70.0,67.0,67.0,59.0,,56.0,City: Large,"10,000 - 19,999",0
University of South Florida,100.0,84.0,85.0,71.0,73.0,72.0,74.0,69.0,74.0,79.0,City: Large,"20,000 and above",0
The University of West Florida,25.0,69.0,67.0,100.0,49.0,43.0,55.0,51.0,33.0,59.0,City: Small,"10,000 - 19,999",2
Abraham Baldwin Agricultural College,33.0,25.0,29.0,0.0,15.0,51.0,43.0,57.0,0.0,21.0,Town: Distant,"1,000 - 4,999",8
Albany State University,0.0,50.0,50.0,,30.0,18.0,19.0,23.0,20.0,0.0,City: Small,"5,000 - 9,999",4
College of Coastal Georgia,0.0,42.0,45.0,0.0,11.0,21.0,28.0,18.0,20.0,50.0,City: Small,"1,000 - 4,999",1
Clayton  State University,0.0,40.0,40.0,,35.0,36.0,30.0,28.0,17.0,55.0,Suburb: Large,"5,000 - 9,999",4
Columbus State University,0.0,42.0,42.0,,42.0,44.0,44.0,56.0,20.0,58.0,City: Midsize,"5,000 - 9,999",4
Dalton State College,0.0,12.0,12.0,,11.0,22.0,24.0,0.0,20.0,50.0,City: Small,"1,000 - 4,999",1
Fort Valley State University,67.0,,,,45.0,0.0,50.0,60.0,,100.0,Town: Fringe,"1,000 - 4,999",1
Georgia Institute of Technology-Main Campus,100.0,97.0,97.0,,80.0,92.0,92.0,89.0,93.0,96.0,City: Large,"20,000 and above",0
Georgia Southwestern State University,,0.0,0.0,,29.0,35.0,39.0,43.0,0.0,33.0,Town: Distant,"1,000 - 4,999",8
Georgia College & State University,0.0,33.0,35.0,0.0,72.0,66.0,63.0,55.0,57.0,57.0,Town: Distant,"5,000 - 9,999",8
Georgia Southern University,43.0,54.0,55.0,0.0,51.0,48.0,54.0,50.0,53.0,63.0,Town: Distant,"20,000 and above",8
Georgia State University,100.0,53.0,53.0,0.0,56.0,58.0,52.0,53.0,35.0,73.0,City: Large,"20,000 and above",0
University of Georgia,67.0,84.0,84.0,75.0,85.0,86.0,90.0,87.0,88.0,84.0,City: Midsize,"20,000 and above",9
Savannah State University,17.0,0.0,,0.0,29.0,20.0,31.0,29.0,0.0,50.0,City: Midsize,"1,000 - 4,999",1
Valdosta State University,0.0,41.0,41.0,,43.0,38.0,39.0,34.0,20.0,36.0,City: Small,"10,000 - 19,999",2
University of West Georgia,50.0,50.0,50.0,50.0,43.0,34.0,46.0,32.0,55.0,50.0,Town: Fringe,"10,000 - 19,999",2
University of Hawaii at Hilo,,49.0,58.0,28.0,0.0,34.0,40.0,41.0,,71.0,Town: Remote,"1,000 - 4,999",6
University of Hawaii at Manoa,13.0,76.0,78.0,46.0,38.0,46.0,50.0,58.0,25.0,73.0,City: Large,"10,000 - 19,999",2
University of Hawaii-West Oahu,,33.0,35.0,0.0,33.0,19.0,38.0,37.0,,,Suburb: Large,"1,000 - 4,999",1
Boise State University,44.0,53.0,59.0,17.0,50.0,53.0,61.0,53.0,64.0,72.0,City: Midsize,"20,000 and above",9
Idaho State University,11.0,21.0,23.0,17.0,11.0,33.0,38.0,38.0,34.0,45.0,City: Small,"10,000 - 19,999",2
University of Idaho,63.0,57.0,62.0,25.0,36.0,62.0,61.0,55.0,65.0,74.0,Town: Distant,"10,000 - 19,999",8
Lewis-Clark State College,14.0,14.0,20.0,0.0,17.0,32.0,36.0,40.0,31.0,54.0,City: Small,"1,000 - 4,999",1
Chicago State University,50.0,100.0,,100.0,30.0,0.0,31.0,67.0,0.0,0.0,City: Large,"1,000 - 4,999",1
Eastern Illinois University,50.0,88.0,88.0,,43.0,44.0,64.0,48.0,57.0,26.0,Town: Distant,"5,000 - 9,999",8
Governors State University,,0.0,0.0,,16.0,38.0,33.0,0.0,14.0,,Rural: Fringe,"1,000 - 4,999",1
University of Illinois Chicago,,73.0,73.0,50.0,55.0,52.0,68.0,61.0,40.0,68.0,City: Large,"20,000 and above",0
University of Illinois Urbana-Champaign,67.0,88.0,88.0,50.0,69.0,76.0,87.0,83.0,86.0,88.0,City: Small,"20,000 and above",5
Illinois State University,50.0,66.0,67.0,50.0,44.0,56.0,73.0,63.0,75.0,53.0,Suburb: Midsize,"20,000 and above",5
Northern Illinois University,100.0,65.0,66.0,0.0,31.0,48.0,65.0,51.0,100.0,63.0,Suburb: Small,"10,000 - 19,999",2
Northeastern Illinois University,0.0,26.0,26.0,,6.0,17.0,33.0,18.0,28.0,22.0,City: Large,"5,000 - 9,999",4
University of Illinois Springfield,,60.0,60.0,,43.0,40.0,59.0,80.0,50.0,69.0,City: Midsize,"1,000 - 4,999",9
Southern Illinois University-Carbondale,0.0,44.0,50.0,0.0,29.0,36.0,60.0,42.0,100.0,63.0,City: Small,"10,000 - 19,999",2
Southern Illinois University-Edwardsville,67.0,62.0,62.0,50.0,32.0,40.0,59.0,52.0,40.0,43.0,Suburb: Large,"10,000 - 19,999",2
Western Illinois University,,70.0,70.0,,30.0,42.0,62.0,44.0,50.0,57.0,Town: Remote,"5,000 - 9,999",6
Ball State University,,60.0,61.0,50.0,58.0,62.0,65.0,59.0,50.0,73.0,City: Small,"10,000 - 19,999",2
Purdue University Fort Wayne,25.0,53.0,53.0,,12.0,22.0,38.0,28.0,50.0,74.0,City: Large,"5,000 - 9,999",4
Indiana University-Purdue University-Indianapolis,100.0,70.0,71.0,33.0,48.0,50.0,58.0,43.0,57.0,65.0,City: Large,"20,000 and above",0
University of Southern Indiana,0.0,47.0,47.0,,43.0,44.0,52.0,33.0,0.0,75.0,Suburb: Midsize,"5,000 - 9,999",4
Indiana State University,25.0,35.0,38.0,0.0,26.0,39.0,52.0,31.0,0.0,75.0,City: Small,"5,000 - 9,999",4
Indiana University-Kokomo,0.0,33.0,33.0,,28.0,50.0,43.0,26.0,29.0,0.0,City: Small,"1,000 - 4,999",1
Indiana University-South Bend,33.0,42.0,36.0,100.0,21.0,31.0,39.0,19.0,40.0,42.0,City: Midsize,"1,000 - 4,999",1
Indiana University-Bloomington,83.0,85.0,84.0,100.0,68.0,78.0,82.0,76.0,77.0,85.0,City: Small,"20,000 and above",5
Indiana University-Northwest,0.0,69.0,69.0,,23.0,32.0,40.0,41.0,57.0,100.0,City: Small,"1,000 - 4,999",2
Indiana University-Southeast,0.0,33.0,20.0,100.0,4.0,33.0,39.0,18.0,0.0,0.0,Suburb: Large,"1,000 - 4,999",1
Indiana University-East,50.0,33.0,33.0,,29.0,29.0,43.0,50.0,67.0,,Rural: Fringe,"1,000 - 4,999",1
Iowa State University,56.0,71.0,71.0,75.0,60.0,63.0,76.0,73.0,77.0,71.0,City: Small,"20,000 and above",5
University of Iowa,45.0,72.0,72.0,80.0,59.0,65.0,75.0,69.0,74.0,78.0,City: Small,"20,000 and above",5
University of Northern Iowa,46.0,78.0,80.0,50.0,51.0,53.0,65.0,45.0,66.0,63.0,City: Small,"5,000 - 9,999",4
Emporia State University,100.0,33.0,40.0,0.0,35.0,39.0,56.0,41.0,78.0,43.0,Town: Remote,"5,000 - 9,999",6
Fort Hays State University,43.0,38.0,38.0,,33.0,34.0,55.0,38.0,33.0,50.0,Town: Remote,"10,000 - 19,999",6
University of Kansas,36.0,75.0,75.0,100.0,48.0,61.0,69.0,59.0,56.0,69.0,City: Small,"20,000 and above",5
