institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total
Faulkner University,33.0,City: Midsize,63.0,0.6034788782392616,1.4909478168264112,33.86581469648562,3.869364572239971,0.1419950301739439,52.85764998225062,2.2719204827831025,2.3429179978700745,2.5559105431309903,2817
Miles College,26.0,Suburb: Large,57.0,0.0,0.0,95.07154213036566,0.6359300476947536,0.0,3.1796502384737675,1.0333863275039743,0.0794912559618442,0.0,1258
University of Mobile,46.0,Rural: Fringe,68.0,1.662971175166297,1.0532150776053215,12.527716186252771,1.7184035476718404,0.2217294900221729,48.28159645232816,4.878048780487805,25.88691796008869,3.76940133037694,1804
Oakwood University,47.0,City: Midsize,77.0,0.2040816326530612,0.2721088435374149,73.26530612244898,9.183673469387756,0.0,1.020408163265306,2.312925170068027,2.2448979591836733,11.496598639455785,1470
Samford University,78.0,Suburb: Large,91.0,0.1231960577261527,1.9007391763463568,8.729320661738825,4.118268215417107,0.1055966209081309,80.21823301654348,1.9183386131643787,2.0767335445265758,0.8095740936290039,5682
Spring Hill College,62.0,City: Midsize,81.0,0.7648183556405354,1.5296367112810707,13.193116634799235,9.27342256214149,0.1912045889101338,60.7074569789675,1.7208413001912046,3.824091778202677,8.795411089866157,1046
Tuskegee University,67.0,Town: Distant,76.0,0.3501945525291829,0.622568093385214,84.3579766536965,2.3735408560311284,1.78988326848249,1.9844357976653693,0.0,8.521400778210117,0.0,2570
Embry-Riddle Aeronautical University-Prescott,71.0,Rural: Fringe,78.0,0.5060088551549652,6.040480708412397,1.96078431372549,14.990512333965844,0.5060088551549652,57.36875395319419,6.862745098039216,2.2770398481973437,9.487666034155598,3162
Arizona Christian University,45.0,Suburb: Large,60.0,1.478743068391867,1.6635859519408502,10.258780036968576,26.062846580406656,0.6469500924214419,49.44547134935305,6.839186691312385,0.5545286506469501,3.049907578558225,1082
Harding University,69.0,Town: Distant,84.0,0.5202913631633715,1.664932362122789,6.597294484911551,3.9334027055150886,0.0624349635796045,79.31321540062434,3.0801248699271597,0.4162330905306972,4.41207075962539,4805
Hendrix College,69.0,City: Small,79.0,0.7867132867132868,3.146853146853147,7.43006993006993,9.090909090909092,0.0874125874125874,68.96853146853147,4.9825174825174825,2.7097902097902096,2.797202797202797,1144
John Brown University,71.0,Town: Distant,84.0,1.4187446259673258,1.9776440240756663,3.353396388650043,8.684436801375753,0.2149613069647463,68.70163370593293,5.28804815133276,5.503009458297506,4.858125537403268,2326
Ouachita Baptist University,65.0,Town: Distant,79.0,0.5605381165919282,1.4573991031390134,6.109865470852018,5.493273542600897,0.0560538116591928,80.77354260089686,3.6434977578475336,0.0,1.905829596412556,1784
Art Center College of Design,75.0,City: Midsize,86.0,0.0413223140495867,27.603305785123965,1.487603305785124,9.132231404958675,0.2066115702479339,11.446280991735538,3.636363636363636,0.0,46.44628099173554,2420
Azusa Pacific University,61.0,Suburb: Large,78.0,0.3208257776537871,14.325568419584322,6.84893290556563,36.86706653647649,0.9066815455433116,26.69828427953689,4.296275631189845,6.17938345654903,3.556981447900683,7169
Biola University,72.0,Suburb: Large,84.0,0.1670688695006497,16.13142751067384,3.304250974568405,18.97159829218489,0.3341377390012994,39.48394282532022,6.831260441804343,4.715054761462781,10.061258585483571,5387
California Baptist University,63.0,City: Large,73.0,0.548064375815572,6.2896911700739455,8.421052631578947,40.19138755980861,0.7481513701609395,32.501087429317096,5.315354501957373,3.3753806002609834,2.609830361026533,11495
California College of the Arts,72.0,City: Large,78.0,0.1998667554963357,13.85742838107928,3.530979347101932,13.324450366422386,0.1332445036642238,19.38707528314457,5.263157894736842,4.596935376415723,39.7068620919387,1501
California Institute of Technology,94.0,City: Midsize,98.0,0.083298625572678,21.532694710537275,2.207413577675968,13.119533527696792,0.041649312786339,26.69720949604332,5.95585172844648,0.4581424406497293,29.90420658059142,2401
California Lutheran University,73.0,City: Midsize,81.0,0.1106500691562932,5.255878284923928,3.67911479944675,38.69986168741356,0.3319502074688796,37.2060857538036,5.366528354080221,1.5767634854771784,7.773167358229599,3615
California Institute of the Arts,64.0,Suburb: Large,85.0,0.3472222222222222,7.916666666666666,4.583333333333333,12.291666666666666,0.1388888888888889,33.68055555555556,5.416666666666667,3.2638888888888893,32.361111111111114,1440
Chapman University,84.0,City: Midsize,91.0,0.1497902935889754,17.44557619332934,2.296784501697623,17.99480726982225,0.2796085480327541,45.54623527062113,7.968843618933493,4.044337926902337,4.274016377072099,10014
Concordia University-Irvine,63.0,City: Large,70.0,0.3205128205128205,8.039529914529915,5.368589743589744,25.774572649572647,0.3739316239316239,47.56944444444444,5.31517094017094,2.80448717948718,4.433760683760684,3744
