"unitid","institution name","year","EF2022A.Level of student","EF2022A.Grand total","EF2022A.Grand total men","EF2022A.Grand total women","EF2022A.American Indian or Alaska Native total","EF2022A.American Indian or Alaska Native men","EF2022A.American Indian or Alaska Native women","EF2022A.Asian total","EF2022A.Asian men","EF2022A.Asian women","EF2022A.Black or African American total","EF2022A.Black or African American men","EF2022A.Black or African American women","EF2022A.Hispanic total","EF2022A.Hispanic men","EF2022A.Hispanic women","EF2022A.Native Hawaiian or Other Pacific Islander total","EF2022A.Native Hawaiian or Other Pacific Islander men","EF2022A.Native Hawaiian or Other Pacific Islander women","EF2022A.White total","EF2022A.White men","EF2022A.White women","EF2022A.Two or more races total","EF2022A.Two or more races men","EF2022A.Two or more races women","EF2022A.Race/ethnicity unknown total","EF2022A.Race/ethnicity unknown men","EF2022A.Race/ethnicity unknown women","EF2022A.U.S. Nonresident total","EF2022A.U.S. Nonresident men","EF2022A.U.S. Nonresident women","EF2022A.Gender unknown","EF2022A.Another gender","EF2022A.Total of gender unknown and another gender","EF2022A.Total gender reported as one of the mutually exclusive binary categories (Men/Women)","IDX_EF"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Non-degree/certificate-seeking","8","3","5","0","0","0","1","1","0","4","1","3","1","0","1","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Graduate","333","121","212","3","2","1","4","1","3","225","79","146","1","1","0","0","0","0","9","6","3","0","0","0","75","25","50","16","7","9",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","13","5","8","0","0","0","0","0","0","8","4","4","2","0","2","0","0","0","2","1","1","0","0","0","0","0","0","1","0","1",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","381","162","219","2","1","1","1","0","1","343","149","194","5","3","2","1","0","1","10","5","5","4","2","2","15","2","13","0","0","0",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students total","21639","7903","13736","36","12","24","1551","604","947","4590","1272","3318","1111","411","700","10","5","5","11055","4139","6916","825","288","537","985","301","684","1476","871","605","0",,"0","21639","-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate total","13032","4884","8148","20","10","10","1066","423","643","3309","1002","2307","923","339","584","6","2","4","6661","2681","3980","637","228","409","82","29","53","328","170","158","0",,"0","13032","-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Degree/certificate-seeking total","12776","4794","7982","20","10","10","1046","413","633","3230","982","2248","908","336","572","6","2","4","6554","2641","3913","627","227","400","82","29","53","303","154","149",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Degree/certificate-seeking, First-time","2217","755","1462","2","1","1","240","90","150","629","174","455","195","60","135","0","0","0","979","370","609","123","38","85","18","3","15","31","19","12",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Other degree/certificate-seeking","10559","4039","6520","18","9","9","806","323","483","2601","808","1793","713","276","437","6","2","4","5575","2271","3304","504","189","315","64","26","38","272","135","137",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Non-degree/certificate-seeking","256","90","166","0","0","0","20","10","10","79","20","59","15","3","12","0","0","0","107","40","67","10","1","9","0","0","0","25","16","9",,,,,"-2"
